Source page: http://data1.cde.ca.gov/dataquest/2000Base_Co.asp?cYear=&cSelect=38,SAN,FRANCISCO,,,,,,,,
link,link/_text,link/_title,content,value_1,value_2,value_3,value_4,value_5,value_6,value_7
,,,,STAR,Students,,2000,2000,2000-,
,,,,2000,Included,2000,State-,Similar,2001,2001
,,,Click on column header link to view notes.,Percent,in the,API,wide,Schools,Growth,API
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6040695&DistCode=68478&AllCds=38684786040695,Alamo Elementary,,Alamo Elementary,92,413,873,10,10,#,#
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6040703&DistCode=68478&AllCds=38684786040703,Alvarado Elementary,,Alvarado Elementary,92,218,689,6,9,6,695
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6040737&DistCode=68478&AllCds=38684786040737,Argonne Elementary,,Argonne Elementary,94,256,781,8,3,1,782
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6040778&DistCode=68478&AllCds=38684786040778,Bryant Elementary,,Bryant Elementary,84,109,596,4,5,10,606
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6072094&DistCode=68478&AllCds=38684786072094,Buena Vista Annex,,Buena Vista Annex,94,204,682,6,2,6,688
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6040802&DistCode=68478&AllCds=38684786040802,Cabrillo Elementary,,Cabrillo Elementary,90,176,798,8,9,1,799
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6040752&DistCode=68478&AllCds=38684786040752,Carmichael (Bessie) Elementary,,Carmichael (Bessie) Elementary,75,164,639,5,7,8,647
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6093496&DistCode=68478&AllCds=38684786093496,Carver (George Washington) Elementary,,Carver (George Washington) Elementary,92,217,682,6,9,6,688
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6041149&DistCode=68478&AllCds=38684786041149,Chavez (Cesar) Elementary,,Chavez (Cesar) Elementary,75,252,540,2,3,13,553
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6113252&DistCode=68478&AllCds=38684786113252,Chin (John Yehall) (Elem),,Chin (John Yehall) (Elem),80,121,722,7,10,4,726
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6040828&DistCode=68478&AllCds=38684786040828,Clarendon/Second Comm. Elementary,,Clarendon/Second Comm. Elementary,98,357,862,10,4,#,#
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6040836&DistCode=68478&AllCds=38684786040836,Cleveland Elementary,,Cleveland Elementary,84,189,574,3,4,11,585
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6040968&DistCode=68478&AllCds=38684786040968,Cobb (William L.) Elementary,,Cobb (William L.) Elementary,98,140,663,5,7,7,670
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6040851&DistCode=68478&AllCds=38684786040851,Commodore Sloat Elementary,,Commodore Sloat Elementary,95,209,795,8,8,1,796
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6104673&DistCode=68478&AllCds=38684786104673,Drew (Charles R.) Elementary,,Drew (Charles R.) Elementary,98,153,655,5,8,7,662
