Source page: http://data1.cde.ca.gov/dataquest/2001Base_Co.asp?cYear=&cSelect=38,SAN,FRANCISCO,,,,,,,,
link,link/_text,link/_title,content,value_1,value_2,value_3,value_4,value_5,value_6,value_7
,,,,STAR,Students,,2001,2001,2001-,
,,,,2001,Included,2001,State-,Similar,2002,2002
,,,Click on column header link to view notes.,Percent,in the,API,wide,Schools,Growth,API
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6040695&DistCode=68478&AllCds=38684786040695,Alamo Elementary,,Alamo Elementary,100,452,866,10,10,A,A
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6040703&DistCode=68478&AllCds=38684786040703,Alvarado Elementary,,Alvarado Elementary,98,289,676,5,6,6,682
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6040737&DistCode=68478&AllCds=38684786040737,Argonne Elementary,,Argonne Elementary,99,263,819,9,5,A,A
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6040778&DistCode=68478&AllCds=38684786040778,Bryant Elementary,,Bryant Elementary,100,126,594,3,4,10,604
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6072094&DistCode=68478&AllCds=38684786072094,Buena Vista Annex,,Buena Vista Annex,96,221,651,4,1,7,658
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6040802&DistCode=68478&AllCds=38684786040802,Cabrillo Elementary,,Cabrillo Elementary,97,170,775,8,6,1,776
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6040752&DistCode=68478&AllCds=38684786040752,Carmichael (Bessie) Elementary,,Carmichael (Bessie) Elementary,97,198,660,5,6,7,667
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6093496&DistCode=68478&AllCds=38684786093496,Carver (George Washington) Elementary,,Carver (George Washington) Elementary,100,229,605,3,5,10,615
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6041149&DistCode=68478&AllCds=38684786041149,Chavez (Cesar) Elementary,,Chavez (Cesar) Elementary,93,300,606,3,5,10,616
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6113252&DistCode=68478&AllCds=38684786113252,Chin (John Yehall) (Elem),,Chin (John Yehall) (Elem),96,151,745,7,9,3,748
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6040828&DistCode=68478&AllCds=38684786040828,Clarendon/Second Comm. Elementary,,Clarendon/Second Comm. Elementary,98,320,878,10,5,A,A
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6040836&DistCode=68478&AllCds=38684786040836,Cleveland Elementary,,Cleveland Elementary,97,210,648,4,7,8,656
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6040968&DistCode=68478&AllCds=38684786040968,Cobb (William L.) Elementary,,Cobb (William L.) Elementary,97,148,655,5,4,7,662
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6040851&DistCode=68478&AllCds=38684786040851,Commodore Sloat Elementary,,Commodore Sloat Elementary,99,215,813,9,7,A,A
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6104673&DistCode=68478&AllCds=38684786104673,Drew (Charles R.) Elementary,,Drew (Charles R.) Elementary,99,170,532,2,1,13,545
http://data1.cde.ca.gov/dataquest/2001Base_sch.asp?SchCode=6040935&DistCode=68478&AllCds=38684786040935,Edison Charter Academy (Elem) #158,,Edison Charter Academy (Elem) #158,100,301,504,1,1,15,519
