Source page: http://data1.cde.ca.gov/dataquest/2002Base_Co.asp?cYear=&cSelect=38,SAN,FRANCISCO,
link,link/_text,link/_title,content
,,,Number of Ranks Ranks Targets Targets
,,,Students 2002 2002 2002-
,,,Included 2002 State- Similar 2003 2003
,,,in the API wide Schools Growth API
http://www.cde.ca.gov/ta/ac/ap/expnotes02b.asp#sbf2; http://www.cde.ca.gov/ta/ac/ap/expnotes02b.asp#sbf3; http://www.cde.ca.gov/ta/ac/ap/expnotes02b.asp#sbf4; http://www.cde.ca.gov/ta/ac/ap/expnotes02b.asp#sbf5; http://www.cde.ca.gov/ta/ac/ap/expnotes02b.asp#sbf6,(Base); Rank; Rank; Target; Target,,2002 API (Base) Rank Rank Target Target
http://data1.cde.ca.gov/dataquest/2002Base_DstApi.asp?cYear=2001-02&cSelect=3810389&cChoice=2002BApiD,SAN FRANCISCO CO. OFF. OF EDUC,,SAN FRANCISCO CO. OFF. OF EDUC 469 389
,,,High Schools
http://data1.cde.ca.gov/dataquest/Flag02b4.htm?C=38&D=10389&S=6069561&SN=Special%A0Education&DN=San%A0Francisco%A0Co.%A0Off.%A0of%A0Educ&CN=San%A0francisco,Special Education,,Special Education
,,,ASAM Schools
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=3830361&DistCode=10389&AllCds=38103893830361,County Court School (All Sites),,County Court School (All Sites) 16 387
http://data1.cde.ca.gov/dataquest/Flag02b4.htm?C=38&D=10389&S=3830395&SN=Hilltop%A0School&DN=San%A0Francisco%A0Co.%A0Off.%A0of%A0Educ&CN=San%A0Francisco,Hilltop School,,Hilltop School
http://data1.cde.ca.gov/dataquest/2002Base_DstApi.asp?cYear=2001-02&cSelect=3868478&cChoice=2002BApiD,SAN FRANCISCO UNIFIED,,"SAN FRANCISCO UNIFIED 41,812 683"
,,,Elementary Schools
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6040695&DistCode=10389&AllCds=38103896040695,Alamo Elementary,,Alamo Elementary 448 848 10 8 A A
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6040703&DistCode=10389&AllCds=38103896040703,Alvarado Elementary,,Alvarado Elementary 266 689 5 3 6 695
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6040737&DistCode=10389&AllCds=38103896040737,Argonne Elementary,,Argonne Elementary 239 816 9 4 A A
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6040778&DistCode=10389&AllCds=38103896040778,Bryant Elementary,,Bryant Elementary 123 573 2 3 11 584
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6072094&DistCode=10389&AllCds=38103896072094,Buena Vista Annex,,Buena Vista Annex 215 682 5 2 6 688
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6040802&DistCode=10389&AllCds=38103896040802,Cabrillo Elementary,,Cabrillo Elementary 174 764 8 6 2 766
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6040752&DistCode=10389&AllCds=38103896040752,Carmichael Elementary,,Carmichael Elementary 257 644 4 2 8 652
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6093496&DistCode=10389&AllCds=38103896093496,Carver Elementary,,Carver Elementary 187 671 5 7 6 677
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6041149&DistCode=10389&AllCds=38103896041149,Chavez (Cesar) Elementary,,Chavez (Cesar) Elementary 288 579 2 2 11 590
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6113252&DistCode=10389&AllCds=38103896113252,Chin (John Yehall) (Elem),,Chin (John Yehall) (Elem) 154 763 8 10 2 765
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6040828&DistCode=10389&AllCds=38103896040828,Clarendon Elementary,,Clarendon Elementary 345 850 10 4 A A
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6040836&DistCode=10389&AllCds=38103896040836,Cleveland Elementary,,Cleveland Elementary 209 625 3 2 9 634
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6040968&DistCode=10389&AllCds=38103896040968,Cobb (William L.) Elem.,,Cobb (William L.) Elem. 135 645 4 5 8 653
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6040851&DistCode=10389&AllCds=38103896040851,Commodore Sloat Elementary,,Commodore Sloat Elementary 234 792 8 6 1 793
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6112601&DistCode=10389&AllCds=38103896112601,Creative Arts Charter,,Creative Arts Charter 123 679 5 1 6 685
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6104673&DistCode=10389&AllCds=38103896104673,Drew (Charles R.) Elementary,,Drew (Charles R.) Elementary 167 535 1 1 13 548
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6040950&DistCode=10389&AllCds=38103896040950,El Dorado Elementary,,El Dorado Elementary 212 621 3 1 9 630
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6040984&DistCode=10389&AllCds=38103896040984,Fairmount Elementary,,Fairmount Elementary 178 567 2 1 12 579
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6041347&DistCode=10389&AllCds=38103896041347,Flynn Elementary,,Flynn Elementary 265 560 1 2 12 572
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6041008&DistCode=10389&AllCds=38103896041008,Francis Scott Key Elementary,,Francis Scott Key Elementary 315 797 8 7 1 798
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6041040&DistCode=10389&AllCds=38103896041040,Garfield Elementary,,Garfield Elementary 148 729 6 7 4 733
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6041073&DistCode=10389&AllCds=38103896041073,Glen Park Elementary,,Glen Park Elementary 172 633 3 3 8 641
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6041081&DistCode=10389&AllCds=38103896041081,Golden Gate Elementary,,Golden Gate Elementary 138 634 3 6 8 642
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6041115&DistCode=10389&AllCds=38103896041115,Grattan Elementary,,Grattan Elementary 147 720 6 3 4 724
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6041123&DistCode=10389&AllCds=38103896041123,Guadalupe Elementary,,Guadalupe Elementary 268 704 6 4 5 709
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6040760&DistCode=10389&AllCds=38103896040760,Harte (Bret) Elementary,,Harte (Bret) Elementary 247 607 3 6 10 617
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6041156&DistCode=10389&AllCds=38103896041156,Hillcrest Elementary,,Hillcrest Elementary 286 612 3 1 9 621
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6041230&DistCode=10389&AllCds=38103896041230,Jefferson Elementary,,Jefferson Elementary 341 827 9 7 A A
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6041305&DistCode=10389&AllCds=38103896041305,Lafayette Elementary,,Lafayette Elementary 270 772 8 4 1 773
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6041321&DistCode=10389&AllCds=38103896041321,Lakeshore Elementary,,Lakeshore Elementary 377 757 7 1 2 759
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6040877&DistCode=10389&AllCds=38103896040877,Lau (Gordon J) Elementary,,Lau (Gordon J) Elementary 431 731 7 9 3 734
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6041339&DistCode=10389&AllCds=38103896041339,Lawton Elementary,,Lawton Elementary 432 855 10 8 A A
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6102479&DistCode=10389&AllCds=38103896102479,Lilienthal Elementary,,Lilienthal Elementary 444 816 9 3 A A
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6041362&DistCode=10389&AllCds=38103896041362,Longfellow Elementary,,Longfellow Elementary 365 761 7 7 2 763
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6041586&DistCode=10389&AllCds=38103896041586,Malcolm X Academy (Elem),,Malcolm X Academy (Elem) 237 576 2 4 11 587
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6041412&DistCode=10389&AllCds=38103896041412,Marshall Elementary,,Marshall Elementary 157 601 2 5 10 611
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6041016&DistCode=10389&AllCds=38103896041016,McCoppin Elementary,,McCoppin Elementary 199 783 8 9 1 784
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6041420&DistCode=10389&AllCds=38103896041420,McKinley Elementary,,McKinley Elementary 125 609 3 2 10 619
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6040919&DistCode=10389&AllCds=38103896040919,Milk (Harvey) Civil Right,,Milk (Harvey) Civil Right 145 607 3 1 10 617
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6041438&DistCode=10389&AllCds=38103896041438,Miraloma Elementary,,Miraloma Elementary 191 661 4 2 7 668
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6041446&DistCode=10389&AllCds=38103896041446,Monroe Elementary,,Monroe Elementary 289 641 4 1 8 649
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6099154&DistCode=10389&AllCds=38103896099154,Moscone Elementary,,Moscone Elementary 230 759 7 10 2 761
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6041255&DistCode=10389&AllCds=38103896041255,Muir (John) Elementary,,Muir (John) Elementary 191 599 2 7 10 609
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6097919&DistCode=10389&AllCds=38103896097919,New Traditions Center,,New Traditions Center 106 705 6 4 5 710
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6041271&DistCode=10389&AllCds=38103896041271,Ortega (Jose) Elementary,,Ortega (Jose) Elementary 228 667 4 3 7 674
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6041206&DistCode=10389&AllCds=38103896041206,Parker (Jean) Elementary,,Parker (Jean) Elementary 221 687 5 6 6 693
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6041503&DistCode=10389&AllCds=38103896041503,Parks (Rosa) Elementary,,Parks (Rosa) Elementary 211 674 5 7 6 680
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6041065&DistCode=10389&AllCds=38103896041065,Peabody (George) Elem.,,Peabody (George) Elem. 156 756 7 7 2 758
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6041511&DistCode=10389&AllCds=38103896041511,Redding Elementary,,Redding Elementary 194 735 7 9 3 738
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6041487&DistCode=10389&AllCds=38103896041487,Revere (Paul) Elementary,,Revere (Paul) Elementary 325 553 1 1 12 565
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6089775&DistCode=10389&AllCds=38103896089775,Rooftop Elementary,,Rooftop Elementary 428 806 9 6 A A
