Source page: http://data1.cde.ca.gov/dataquest/API2005/2004Base_Co.aspx?cYear=&cSelect=38,SAN,FRANCISCO,
links,links/_text,links/_title,content
,,,Ranks Ranks Targets Targets
http://www.cde.ca.gov/ta/ac/ap/expnotes04b.asp#sbf2; http://www.cde.ca.gov/ta/ac/ap/expnotes04b.asp#sbf3; http://www.cde.ca.gov/ta/ac/ap/expnotes04b.asp#sbf4; http://www.cde.ca.gov/ta/ac/ap/expnotes04b.asp#sbf5; http://www.cde.ca.gov/ta/ac/ap/expnotes04b.asp#sbf6,2004 API Base; 2004 Statewide Rank; 2004 Similar Schools Rank; 2004-05 Growth Target; 2005 API Target,,Number of Students Included in the 2004 API 2004 API Base 2004 Statewide Rank 2004 Similar Schools Rank 2004-05 Growth Target 2005 API Target
http://data1.cde.ca.gov/dataquest/API2005/2004Base_DstAPI.aspx?cYear=2003-04&cSelect=3810389&cChoice=2004BApiD,San Francisco Co. Off. of Educ,,San Francisco Co. Off. of Educ 503 384 B B B B
,,,High Schools
http://data1.cde.ca.gov/dataquest/API2005/Flag04Base.aspx?flag=3%20&allcds=38103896069561,Special Education,,Special Education
,,,ASAM Schools
http://data1.cde.ca.gov/dataquest/API2005/Flag04Base.aspx?flag=3%20&allcds=38103893830395,Alternative/Opportunity,,Alternative/Opportunity
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38103893830445,San Francisco County Community,,San Francisco County Community 105 316 B B B B
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38103893830361,San Francisco County Court,,San Francisco County Court 35 334 * B * B B B
http://data1.cde.ca.gov/dataquest/API2005/2004Base_DstAPI.aspx?cYear=2003-04&cSelect=3868478&cChoice=2004BApiD,San Francisco Unified,,"San Francisco Unified 41,521 724 B B B B"
,,,Elementary Schools
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786040695,Alamo Elementary,,Alamo Elementary 454 868 10 8 A A
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786040703,Alvarado Elementary,,Alvarado Elementary 270 783 7 9 1 784
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786040737,Argonne Elementary,,Argonne Elementary 251 823 9 6 A A
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786040778,Bryant Elementary,,Bryant Elementary 129 627 2 3 9 636
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786072094,Buena Vista Annex,,Buena Vista Annex 228 683 4 3 6 689
