Source page: http://data1.cde.ca.gov/dataquest/Acnt2013/2012Base_Co.aspx?cYear=&cSelect=38,SAN,FRANCISCO,,,,,,,,,,,
col_link,col_link/_text,col_link/_title,links,links/_text,links/_title,col_content,col_number_1,col_number_2,ranks_value_1,ranks_value_2,targets_value_1,targets_value_2,links_numbers
,,,http://www.cde.ca.gov/ta/ac/ap/glossary13b.asp#ga2; http://www.cde.ca.gov/ta/ac/ap/glossary13b.asp#ga3; http://www.cde.ca.gov/ta/ac/ap/glossary13b.asp#ga4; http://www.cde.ca.gov/ta/ac/ap/glossary13b.asp#ga5; http://www.cde.ca.gov/ta/ac/ap/glossary13b.asp#ga6; http://www.cde.ca.gov/ta/ac/ap/glossary13b.asp#ga7,Number of Students Included in the 2012 API; 2012 Base API; 2012 Statewide Rank; 2012 Similar Schools Rank; 2012 -13 Growth Target; 2013 API Target,,,,,,,,,2012; 2012; 2012; 2012; 2012; -13; 2013
http://data1.cde.ca.gov/dataquest/Acnt2013/2012Base_DstAPI.aspx?cYear=2012-13&allcds=3810389&cChoice=2012BApiD,San Francisco County Office of,,,,,San Francisco County Office of,159,404,B,B,B,B,
,,,,,,Small Schools,,,,,,,
http://data1.cde.ca.gov/dataquest/Acnt2013/Flag12BaseSch.aspx?flag=6&allcds=38103896069561,S.F. County Special Education,,,,,S.F. County Special Education,,,,,,,
,,,,,,ASAM Schools,,,,,,,
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38103893830445,S.F. County Civic Center Secondary,,,,,S.F. County Civic Center Secondary,25,489,B,B,16,505,
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38103893830361,S.F. County Court Woodside Learning Ctr,,,,,S.F. County Court Woodside Learning Ctr,20,467,B,B,17,484,
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38103893830395,S.F. County Opportunity (Hilltop),,,,,S.F. County Opportunity (Hilltop),25,367,B,B,22,389,
http://data1.cde.ca.gov/dataquest/Acnt2013/2012Base_DstAPI.aspx?cYear=2012-13&allcds=3868478&cChoice=2012BApiD,San Francisco Unified,,,,,San Francisco Unified,37343,807,B,B,B,B,
,,,,,,Elementary Schools,,,,,,,
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786040695,Alamo Elementary,,,,,Alamo Elementary,335,909,9,3,A,A,
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786040703,Alvarado Elementary,,,,,Alvarado Elementary,332,848,7,4,A,A,
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786040737,Argonne Elementary,,,,,Argonne Elementary,272,895,9,3,A,A,
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786040778,Bryant Elementary,,,,,Bryant Elementary,151,730,2,2,5,735,
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786062046,Buena Vista/ Horace Mann K-8,,,,,Buena Vista/ Horace Mann K-8,455,725,1,1,5,730
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786040752,Carmichael (Bessie)/FEC,,,,,Carmichael (Bessie)/FEC,484,795,4,4,5,800
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786093496,Carver (George Washington) Elementary,,,,,Carver (George Washington) Elementary,156,741,2,7,5,746
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786041149,Chavez (Cesar) Elementary,,,,,Chavez (Cesar) Elementary,292,661,1,1,7,668
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786113252,Chin (John Yehall) Elementary,,,,,Chin (John Yehall) Elementary,166,989,10,10,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786040828,Clarendon Alternative Elementary,,,,,Clarendon Alternative Elementary,390,950,10,5,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786040836,Cleveland Elementary,,,,,Cleveland Elementary,211,674,1,1,6,680
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786040968,Cobb (William L.) Elementary,,,,,Cobb (William L.) Elementary,113,708,1,2,5,713
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786112601,Creative Arts Charter,,,,,Creative Arts Charter,197,825,6,2,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786104673,Drew (Charles) College Preparatory Acade,,,,,Drew (Charles) College Preparatory Acade,159,675,1,1,6,681
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786040935,Edison Charter Academy,,,,,Edison Charter Academy,395,795,4,5,5,800
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786040950,El Dorado Elementary,,,,,El Dorado Elementary,178,695,1,2,5,700
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786040984,Fairmount Elementary,,,,,Fairmount Elementary,243,758,3,1,5,763
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684780111427,Feinstein (Dianne) Elementary,,,,,Feinstein (Dianne) Elementary,294,872,8,3,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786041347,Flynn (Leonard R.) Elementary,,,,,Flynn (Leonard R.) Elementary,285,737,2,1,5,742
